ダウンロードした時刻：2020/04/28 16:42:56

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/4/1,8.8,8,1,6.2,0,8,1,1008.9,8,1,60,8,1,6.0,8,1,晴後曇,8,1
2019/4/2,7.2,8,1,7.2,0,8,1,1011.5,8,1,55,8,1,3.8,8,1,晴後曇,8,1
2019/4/3,8.1,8,1,12.0,0,8,1,1014.3,8,1,39,8,1,0.3,8,1,快晴,8,1
2019/4/4,10.6,8,1,11.7,0,8,1,1010.8,8,1,45,8,1,1.5,8,1,快晴,8,1
2019/4/5,15.4,8,1,11.6,0,8,1,1001.4,8,1,45,8,1,3.5,8,1,薄曇後晴,8,1
2019/4/6,15.9,8,1,10.4,0,8,1,1004.1,8,1,42,8,1,2.8,8,1,晴,8,1
2019/4/7,15.5,8,1,8.5,0,8,1,1003.8,8,1,55,8,1,3.5,8,1,晴一時曇,8,1
2019/4/8,9.3,8,1,0.5,0,8,1,1005.1,8,1,79,8,1,10.0,8,1,雨時々曇,8,1
2019/4/9,10.3,8,1,11.9,0,8,1,1013.3,8,1,51,8,1,2.3,8,1,快晴,8,1
2019/4/10,5.7,8,1,0.0,0,8,1,1008.8,8,1,90,8,1,10.0,8,1,雨,8,1
2019/4/11,10.4,8,1,8.8,0,8,1,1003.9,8,1,59,8,1,9.5,8,1,晴後曇,8,1
2019/4/12,9.6,8,1,1.5,0,8,1,1013.6,8,1,52,8,1,10.0,8,1,曇,8,1
2019/4/13,12.1,8,1,11.7,0,8,1,1019.1,8,1,46,8,1,2.8,8,1,晴後一時薄曇,8,1
2019/4/14,14.7,8,1,3.5,0,8,1,1015.0,8,1,59,8,1,10.0,8,1,曇,8,1
2019/4/15,16.0,8,1,9.5,0,8,1,1005.7,8,1,54,8,1,4.0,8,1,晴一時曇,8,1
2019/4/16,15.3,8,1,12.2,0,8,1,1015.2,8,1,44,8,1,2.3,8,1,晴,8,1
2019/4/17,15.5,8,1,0.3,0,8,1,1013.5,8,1,65,8,1,9.5,8,1,薄曇,8,1
2019/4/18,17.5,8,1,8.7,0,8,1,1009.2,8,1,62,8,1,5.3,8,1,晴後一時薄曇,8,1
2019/4/19,18.3,8,1,9.2,0,8,1,1007.4,8,1,68,8,1,9.8,8,1,薄曇,8,1
2019/4/20,14.2,8,1,11.3,0,8,1,1012.5,8,1,63,8,1,5.3,8,1,晴,8,1
2019/4/21,17.5,8,1,7.9,0,8,1,1010.0,8,1,73,8,1,8.0,8,1,晴時々曇,8,1
2019/4/22,19.2,8,1,8.9,0,8,1,1011.3,8,1,69,8,1,9.0,8,1,曇後晴,8,1
2019/4/23,18.7,8,1,7.3,0,8,1,1018.1,8,1,61,8,1,10.0,8,1,薄曇,8,1
2019/4/24,19.1,8,1,0.0,0,8,1,1013.5,8,1,87,8,1,10.0,8,1,曇時々雨,8,1
2019/4/25,20.3,8,1,2.3,0,8,1,1001.1,8,1,93,8,1,8.8,8,1,曇時々雨後一時晴,8,1
2019/4/26,11.6,8,1,0.0,0,8,1,1002.5,8,1,93,8,1,10.0,8,1,雨後曇,8,1
2019/4/27,10.2,8,1,0.3,0,8,1,1006.2,8,1,78,8,1,7.5,8,1,曇後一時雨,8,1
2019/4/28,12.6,8,1,9.0,0,8,1,1018.6,8,1,45,8,1,6.3,8,1,薄曇一時晴,8,1
2019/4/29,14.8,8,1,2.0,0,8,1,1019.2,8,1,64,8,1,10.0,8,1,曇,8,1
2019/4/30,14.8,8,1,0.0,0,8,1,1010.7,8,1,96,8,1,10.0,8,1,雨一時曇,8,1
